순위,name,date,money,pop,스크린수,상영횟수,대표국적,국적,배급사
134,정글북,2016-06-09,"21,517,647,134","2,537,438",924,"59,041",미국,미국,월트디즈니컴퍼니코리아(주)
135,엑스맨: 퍼스트 클래스,2011-06-02,"19,081,006,000","2,534,979",587,"56,841",미국,미국,이십세기폭스코리아(주)
136,마이펫의 이중생활,2016-08-03,"19,406,716,655","2,520,700",726,"39,660",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
137,나는 전설이다,2007-12-12,"16,084,527,000","2,460,225",447,"43,681",미국,미국,워너브러더스 코리아(주)
138,보스 베이비,2017-05-03,"18,936,306,704","2,452,245","1,116","48,379",미국,미국,씨제이이앤엠(주)
139,신비한 동물들과 그린델왈드의 범죄,2018-11-14,"20,817,381,118","2,414,195","1,601","76,847",미국,미국,워너브러더스 코리아(주)
140,터미네이터: 다크 페이트,2019-10-30,"20,167,141,830","2,410,227","1,315","81,345",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
141,007 스카이폴,2012-10-26,"17,487,818,000","2,376,266",748,"51,359",미국,"미국,영국",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
142,테이큰,2008-04-09,"15,984,210,000","2,361,598",256,"61,864",프랑스,프랑스,㈜스튜디오이쩜영
143,스파이,2015-05-21,"18,417,637,358","2,318,748",665,"62,960",미국,미국,이십세기폭스코리아(주)
144,포세이돈,2006-05-31,"14,588,094,300","2,316,695",338,"43,841",미국,미국,워너브러더스 코리아(주)
145,모아나,2017-01-12,"18,062,083,807","2,311,019",953,"53,191",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
146,테이큰 2,2012-09-27,"17,581,248,553","2,308,646",682,"51,346",프랑스,프랑스,이십세기폭스코리아(주)
147,메이즈 러너: 데스 큐어,2018-01-17,"18,902,873,104","2,299,732","1,090","58,918",미국,미국,이십세기폭스코리아(주)
148,맘마미아!2,2018-08-08,"19,609,112,503","2,294,087",750,"59,067",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
149,이글 아이,2008-10-09,"14,869,812,500","2,292,172",407,"59,132",미국,미국,씨제이엔터테인먼트
150,호빗: 스마우그의 폐허,2013-12-12,"17,850,613,316","2,282,744",811,"39,617",미국,"미국,뉴질랜드",워너브러더스 코리아(주)
151,컨저링,2013-09-17,"16,353,225,777","2,262,758",563,"48,616",미국,미국,워너브러더스 코리아(주)
152,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,"18,906,246,428","2,256,913","1,709","95,669",미국,미국,워너브러더스 코리아(주)
153,레디 플레이어 원,2018-03-28,"19,933,108,071","2,254,430","1,079","77,173",미국,미국,워너브러더스 코리아(주)
154,나잇&데이,2010-06-24,"16,777,869,600","2,243,484",494,"54,797",미국,미국,이십세기폭스코리아(주)
155,배틀쉽,2012-04-11,"16,545,921,500","2,241,687",736,"53,109",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
156,셜록홈즈 : 그림자 게임,2011-12-21,"16,670,913,500","2,239,156",370,"45,652",미국,미국,워너브러더스 코리아(주)
157,어거스트 러쉬,2007-11-29,"14,359,351,000","2,229,841",271,"42,946",미국,미국,"(주)영화사 그램,씨제이엔터테인먼트"
158,슈렉 포에버,2010-07-01,"22,810,989,100","2,224,118",561,"51,327",미국,미국,씨제이엔터테인먼트
159,007 퀀텀 오브 솔러스,2008-11-05,"14,389,322,000","2,205,160",520,"70,775",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
160,셜록 홈즈,2009-12-23,"16,036,809,500","2,184,425",381,"44,036",미국,"미국,영국",워너브러더스 코리아(주)
161,맨 오브 스틸,2013-06-13,"17,092,964,063","2,182,227",998,"55,514",미국,미국,워너브러더스 코리아(주)
162,로건,2017-03-01,"18,443,672,463","2,176,826",954,"70,866",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
163,"나니아 연대기-사자,마녀 그리고 옷장",2005-12-29,"13,232,904,500","2,168,613",275,"29,770",미국,미국,브에나비스타인터내셔널코리아
164,원더 우먼,2017-05-31,"17,468,588,886","2,165,401","1,034","57,818",미국,미국,워너브러더스 코리아(주)
165,이상한 나라의 앨리스,2010-03-04,"20,334,399,500","2,147,012",397,"58,393",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
166,겟 아웃,2017-05-17,"17,439,569,035","2,139,452",945,"56,905",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
167,논스톱,2014-02-27,"16,066,549,940","2,084,482",582,"58,217",미국,"미국,프랑스",(주)넥스트엔터테인먼트월드(NEW)
168,장화신은 고양이,2012-01-12,"17,602,643,500","2,080,445",593,"45,454",미국,미국,씨제이이앤엠(주)
169,인투 더 스톰,2014-08-28,"16,158,055,332","2,078,825",585,"45,906",미국,미국,워너브러더스 코리아(주)
170,이클립스,2010-07-07,"14,947,417,000","2,069,546",535,"46,374",미국,미국,(주)넥스트엔터테인먼트월드(NEW)
171,혹성탈출: 종의 전쟁,2017-08-15,"16,854,482,778","2,051,315","1,017","44,543",미국,미국,이십세기폭스코리아(주)
172,노아,2014-03-20,"15,514,373,500","2,026,594",952,"56,722",미국,미국,씨제이이앤엠(주)
173,레버넌트: 죽음에서 돌아온 자,2016-01-14,"16,111,327,130","2,007,665",967,"55,065",미국,미국,이십세기폭스코리아(주)
174,테이큰 3,2015-01-01,"16,102,014,000","2,006,561",616,"39,748",미국,미국,이십세기폭스코리아(주)
175,본 얼티메이텀,2007-09-12,"13,316,615,000","2,005,155",332,"49,028",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
176,트로이,2004-05-21,"12,777,421,000","2,001,318",177,"21,247",미국,미국,워너브러더스 코리아(주)
177,루시,2014-09-03,"16,468,076,039","1,974,893",641,"44,585",미국,"미국,프랑스",유니버설픽쳐스인터내셔널 코리아(유)
178,박물관이 살아있다 2,2009-06-04,"12,399,745,500","1,972,440",569,"53,628",미국,미국,이십세기폭스코리아(주)
179,페르시아의 왕자: 시간의 모래,2010-05-27,"14,483,501,000","1,970,823",567,"51,307",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
180,알리타: 배틀 엔젤,2019-02-05,"18,607,671,547","1,958,055","1,043","54,298",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
181,애나벨 : 인형의 주인,2017-08-10,"15,527,492,238","1,934,270","1,006","35,103",미국,미국,워너브러더스 코리아(주)
182,뉴 문,2009-12-02,"13,868,814,000","1,933,467",545,"46,808",미국,미국,(주)넥스트엔터테인먼트월드(NEW)
183,컨저링 2,2016-06-09,"15,759,374,229","1,928,605",640,"45,816",미국,미국,워너브러더스 코리아(주)
184,"색, 계",2007-11-08,"12,661,780,400","1,925,774",258,"40,845",미국,미국,"(주)제이앤씨미디어그룹,씨제이엔터테인먼트"
185,터보,2013-07-25,"13,121,226,000","1,925,154",634,"28,838",미국,미국,씨제이이앤엠(주)
186,천사와 악마,2009-05-14,"12,541,341,000","1,906,687",543,"47,459",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
187,수어사이드 스쿼드,2016-08-03,"15,874,111,188","1,898,220",823,"29,512",미국,미국,워너브러더스 코리아(주)
